Año,Trimestre,Provincia,Mbps (Media de bajada),Tasa de Crecimiento
2018,1,Capital Federal,17.75,1.17
2018,1,Catamarca,8.2,1.05
2018,1,Chaco,12.44,1.06
2018,1,Chubut,5.42,1.0
2018,1,Córdoba,12.79,1.1
2018,1,Corrientes,11.12,1.07
2018,1,Entre Ríos,9.88,1.06
2018,1,Formosa,11.06,1.09
2018,1,Jujuy,6.74,1.02
2018,1,La Pampa,4.0,1.01
2018,1,La Rioja,5.89,1.0
2018,1,Mendoza,5.88,1.03
2018,1,Misiones,12.08,1.07
2018,1,Neuquén,11.96,1.12
2018,1,Río Negro,8.98,1.12
2018,1,Salta,9.19,1.09
2018,1,San Juan,5.85,1.0
2018,1,San Luis,5.89,1.03
2018,1,Santa Cruz,5.19,1.0
2018,1,Santa Fe,11.17,1.08
2018,1,Santiago Del Estero,6.25,1.01
2018,1,Tierra Del Fuego,5.77,1.11
2018,1,Tucumán,9.36,1.03
2018,2,Buenos Aires,14.68,1.03
2018,2,Capital Federal,18.94,1.07
2018,2,Catamarca,7.69,0.94
2018,2,Chaco,12.5,1.0
2018,2,Chubut,5.33,0.98
2018,2,Córdoba,13.88,1.09
2018,2,Corrientes,10.88,0.98
2018,2,Entre Ríos,10.19,1.03
2018,2,Formosa,8.97,0.81
2018,2,Jujuy,6.29,0.93
2018,2,La Pampa,4.1,1.02
2018,2,La Rioja,5.59,0.95
2018,2,Mendoza,5.88,1.0
2018,2,Misiones,11.76,0.97
2018,2,Neuquén,13.37,1.12
2018,2,Río Negro,9.51,1.06
2018,2,Salta,8.93,0.97
2018,2,San Juan,5.85,1.0
2018,2,San Luis,5.9,1.0
2018,2,Santa Cruz,5.19,1.0
2018,2,Santa Fe,11.75,1.05
2018,2,Santiago Del Estero,5.91,0.95
2018,2,Tierra Del Fuego,5.94,1.03
2018,2,Tucumán,13.51,1.44
2018,3,Buenos Aires,16.78,1.14
2018,3,Capital Federal,21.64,1.14
2018,3,Catamarca,7.81,1.02
2018,3,Chaco,12.89,1.03
2018,3,Chubut,6.08,1.14
2018,3,Córdoba,14.82,1.07
2018,3,Corrientes,11.49,1.06
2018,3,Entre Ríos,10.52,1.03
2018,3,Formosa,9.32,1.04
2018,3,Jujuy,7.67,1.22
2018,3,La Pampa,4.28,1.04
2018,3,La Rioja,6.16,1.1
2018,3,Mendoza,5.79,0.98
2018,3,Misiones,12.49,1.06
2018,3,Neuquén,14.67,1.1
2018,3,Río Negro,10.06,1.06
2018,3,Salta,9.27,1.04
2018,3,San Juan,5.74,0.98
2018,3,San Luis,8.81,1.49
2018,3,Santa Cruz,5.37,1.03
2018,3,Santa Fe,12.36,1.05
2018,3,Santiago Del Estero,5.78,0.98
2018,3,Tierra Del Fuego,5.99,1.01
2018,3,Tucumán,15.26,1.13
2018,4,Buenos Aires,16.94,1.01
2018,4,Capital Federal,22.94,1.06
2018,4,Catamarca,8.04,1.03
2018,4,Chaco,13.49,1.05
2018,4,Chubut,6.09,1.0
2018,4,Córdoba,15.81,1.07
2018,4,Corrientes,12.14,1.06
2018,4,Entre Ríos,11.02,1.05
2018,4,Formosa,9.82,1.05
2018,4,Jujuy,8.56,1.12
2018,4,La Pampa,4.32,1.01
2018,4,La Rioja,7.09,1.15
2018,4,Mendoza,5.75,0.99
2018,4,Misiones,12.5,1.0
2018,4,Neuquén,15.89,1.08
2018,4,Río Negro,10.49,1.04
2018,4,Salta,10.46,1.13
2018,4,San Juan,5.72,1.0
2018,4,San Luis,8.82,1.0
2018,4,Santa Cruz,5.12,0.95
2018,4,Santa Fe,13.18,1.07
2018,4,Santiago Del Estero,6.31,1.09
2018,4,Tierra Del Fuego,7.44,1.24
2018,4,Tucumán,16.58,1.09
2019,1,Buenos Aires,19.64,1.16
2019,1,Capital Federal,24.72,1.08
2019,1,Catamarca,7.96,0.99
2019,1,Chaco,13.44,1.0
2019,1,Chubut,5.89,0.97
2019,1,Córdoba,15.73,0.99
2019,1,Corrientes,12.05,0.99
2019,1,Entre Ríos,10.66,0.97
2019,1,Formosa,9.83,1.0
2019,1,Jujuy,8.56,1.0
2019,1,La Pampa,5.06,1.17
2019,1,La Rioja,7.09,1.0
2019,1,Mendoza,5.74,1.0
2019,1,Misiones,12.51,1.0
2019,1,Neuquén,15.88,1.0
2019,1,Río Negro,10.49,1.0
2019,1,Salta,10.38,0.99
2019,1,San Juan,5.84,1.02
2019,1,San Luis,8.71,0.99
2019,1,Santa Cruz,5.78,1.13
2019,1,Santa Fe,12.99,0.99
2019,1,Santiago Del Estero,6.42,1.02
2019,1,Tierra Del Fuego,6.34,0.85
2019,1,Tucumán,16.56,1.0
2019,2,Buenos Aires,22.48,1.14
2019,2,Capital Federal,30.34,1.23
2019,2,Catamarca,8.81,1.11
2019,2,Chaco,16.02,1.19
2019,2,Chubut,6.05,1.03
2019,2,Córdoba,18.44,1.17
2019,2,Corrientes,13.83,1.15
2019,2,Entre Ríos,12.19,1.14
2019,2,Formosa,10.84,1.1
2019,2,Jujuy,12.07,1.41
2019,2,La Pampa,5.49,1.08
2019,2,La Rioja,7.89,1.11
2019,2,Mendoza,6.03,1.05
2019,2,Misiones,14.5,1.16
2019,2,Neuquén,17.23,1.09
2019,2,Río Negro,11.63,1.11
2019,2,Salta,12.55,1.21
2019,2,San Juan,6.12,1.05
2019,2,San Luis,19.88,2.28
2019,2,Santa Cruz,6.01,1.04
2019,2,Santa Fe,15.07,1.16
2019,2,Santiago Del Estero,7.1,1.11
2019,2,Tierra Del Fuego,6.34,1.0
2019,2,Tucumán,18.53,1.12
2019,3,Buenos Aires,25.69,1.14
2019,3,Capital Federal,38.72,1.28
2019,3,Catamarca,9.29,1.05
2019,3,Chaco,19.98,1.25
2019,3,Chubut,6.97,1.15
2019,3,Córdoba,23.19,1.26
2019,3,Corrientes,16.7,1.21
2019,3,Entre Ríos,14.7,1.21
2019,3,Formosa,13.22,1.22
2019,3,Jujuy,11.97,0.99
2019,3,La Pampa,5.72,1.04
2019,3,La Rioja,8.0,1.01
2019,3,Mendoza,6.11,1.01
2019,3,Misiones,17.94,1.24
2019,3,Neuquén,23.75,1.38
2019,3,Río Negro,15.98,1.37
2019,3,Salta,14.75,1.18
2019,3,San Juan,6.04,0.99
2019,3,San Luis,19.73,0.99
2019,3,Santa Cruz,5.02,0.84
2019,3,Santa Fe,18.17,1.21
2019,3,Santiago Del Estero,9.39,1.32
2019,3,Tierra Del Fuego,6.69,1.06
2019,3,Tucumán,19.31,1.04
2019,4,Buenos Aires,30.77,1.2
2019,4,Capital Federal,44.2,1.14
2019,4,Catamarca,24.88,2.68
2019,4,Chaco,23.38,1.17
2019,4,Chubut,6.99,1.0
2019,4,Córdoba,26.16,1.13
2019,4,Corrientes,19.27,1.15
2019,4,Entre Ríos,17.02,1.16
2019,4,Formosa,14.53,1.1
2019,4,Jujuy,12.96,1.08
2019,4,La Pampa,6.53,1.14
2019,4,La Rioja,8.0,1.0
