Provincia,Partido,Localidad,Población,ADSL,Cablemódem,Dial Up,Fibra óptica,Satelital,Wireless,Telefonía Fija,3G,4G,Link,Latitud,Longitud
SANTA FE,Constitución,General Gelly,610,1,0,0,0,0,1,0,0,1,82028090.0,-33.6018434911159,-60.5989383522422
SANTA FE,Constitución,Godoy,1189,0,0,0,0,0,1,1,1,1,82028100.0,-33.3697098731789,-60.5094130215383
SANTA FE,Constitución,Juan B. Molina,1265,1,0,0,0,0,1,1,1,1,82028110.0,-33.496020689866,-60.5122133295946
SANTA FE,Constitución,Juncal,941,1,0,0,1,0,1,1,0,0,82028120.0,-33.71761494002,-61.0500179215707
SANTA FE,Constitución,La Vanguardia,385,0,0,0,1,0,0,1,0,0,82028130.0,-33.3596257970974,-60.6584568664422
SANTA FE,Constitución,Máximo Paz (Est. Paz),3441,1,1,0,0,0,1,1,1,1,82028140.0,-33.4851439474937,-60.9567885809825
SANTA FE,Constitución,Pavón,876,1,0,0,0,0,0,1,1,1,82028150.0,-33.2430754805422,-60.4062757935089
SANTA FE,Constitución,Pavón Arriba,1834,0,1,0,1,0,1,1,1,1,82028160.0,-33.3134173933438,-60.8249758944661
SANTA FE,Constitución,Peyrano,2517,0,1,0,0,0,0,1,0,1,82028170.0,-33.5411378598405,-60.804329558703
SANTA FE,Constitución,Rueda,471,0,0,0,0,0,1,1,0,0,82028180.0,-33.335855095367,-60.4608740548372
SANTA FE,Constitución,Santa Teresa,3039,1,1,0,1,0,1,1,1,1,82028190.0,-33.4385471621789,-60.7911542772276
SANTA FE,Constitución,Sargento Cabral,1007,0,0,0,1,0,1,1,0,1,82028200.0,-33.4330128597835,-60.6301906902003
SANTA FE,Constitución,Stephenson,54,0,0,0,0,0,0,0,0,1,82028210.0,-33.4178567628002,-60.5572137324943
SANTA FE,Constitución,Theobald,421,0,0,0,0,0,0,1,0,1,82028220.0,-33.3122172562755,-60.3120513587534
SANTA FE,Constitución,Villa Constitución,47374,1,1,0,1,0,1,1,1,1,82028230.0,-33.2324133911798,-60.3324988273466
SANTA FE,Garay,Cayastá,3367,0,0,0,0,0,1,1,1,1,82035010.0,-31.2023253009306,-60.1614504193394
SANTA FE,Garay,Helvecia,5756,0,1,0,0,0,1,1,0,1,82035020.0,-31.0992706781177,-60.0881512872483
SANTA FE,Garay,Los Zapallos,873,0,1,0,0,0,0,1,0,1,82035030.0,-31.4956365531425,-60.4286467714748
SANTA FE,Garay,Saladero Mariano Cabal,588,0,0,0,0,1,1,1,0,1,82035040.0,-30.9229849971234,-60.0481154588667
SANTA FE,Garay,Santa Rosa de Calchines,3435,1,1,0,0,0,0,1,1,1,82035050.0,-31.422365592266,-60.3348940800468
SANTA FE,General López,Aarón Castellanos (Est. Castellanos),236,0,0,0,0,0,1,1,0,1,82042010.0,-34.3345323396045,-62.3748007656351
SANTA FE,General López,Amenábar,1605,1,0,0,0,0,1,1,1,1,82042020.0,-34.136118440775,-62.4229084851079
SANTA FE,General López,Cafferata,1449,1,0,0,1,0,0,0,1,1,82042030.0,-33.4414158758935,-62.0868714692657
SANTA FE,San Jerónimo,López (Est. San Martín de Tours),1368,1,1,0,0,0,0,1,0,1,82105180.0,-31.9069668930749,-61.2799295377437
SANTA FE,San Jerónimo,Maciel,5634,1,1,0,0,0,1,1,1,1,82105190.0,-32.4587652553057,-60.8931126475643
SANTA FE,San Jerónimo,Monje,1838,0,0,0,1,0,0,1,1,1,82105200.0,-32.358735658961,-60.9429043010117
