Año,Trimestre,Provincia,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,Total
2020,2,Catamarca,63,0,8801,8690,10242,426,16578,47976
2020,2,Chaco,308,928,24350,21140,29044,12082,33311,128132
2020,2,Chubut,158,109,69578,22188,10537,1473,614,108656
2020,2,Córdoba,168,4383,219025,125932,89530,63216,325243,836468
2020,2,Corrientes,72,527,34242,22845,25844,7898,22418,118866
2020,2,Entre Ríos,130,3679,66758,50640,42090,12856,43391,234113
2020,2,Formosa,391,151,23534,7109,6998,961,7475,47932
2020,2,Jujuy,55,182,30548,10519,26829,209,9417,94316
2020,2,La Pampa,293,810,71218,7531,3800,1657,3377,89809
2020,2,La Rioja,21,1,37375,5661,4686,73,4336,52155
2020,2,Mendoza,58,40,142253,12439,35274,3248,5422,201184
2020,2,Misiones,71,524,39867,23719,26445,12305,28763,140340
2020,2,Neuquén,218,327,61171,6103,6625,5296,46432,126172
2020,2,Río Negro,114,466,70817,3335,7498,3246,26953,129486
2020,2,Salta,129,514,41801,64463,16989,7741,39594,177762
2020,2,San Juan,48,194,59113,917,4908,40,127,69777
2020,2,San Luis,105,0,11439,3585,1934,60889,8,113952
2020,2,Santa Cruz,66,0,26938,4166,6541,546,119,38869
2020,2,Santa Fe,568,2061,213054,198772,96575,57236,189473,777932
2020,2,Santiago Del Estero,133,1779,32557,57709,5178,247,3328,105447
2020,2,Tierra Del Fuego,11,0,22325,5186,3034,391,796,39189
2020,2,Tucumán,52,97,49028,54537,34184,2246,74377,217156
2020,1,Buenos Aires,38215,36802,1122034,236421,247977,205780,1802583,3718747
2020,1,Capital Federal,264,312,169651,102254,89665,85899,906009,1354054
2020,1,Catamarca,63,0,8838,7543,9558,408,10299,38860
2020,1,Chaco,308,928,23291,19976,29851,10416,28539,120226
2020,1,Chubut,158,109,69586,12957,7756,1240,614,96920
2020,1,Córdoba,142,5128,217229,120188,95827,65733,296875,810924
2020,1,Corrientes,72,527,33479,21382,26679,7351,19467,113737
2020,1,Entre Ríos,130,4081,72280,47132,41125,11988,39794,230292
