Provincia,Partido,Localidad,Link Indec,Otros,"0,256 Mbps","0,375 Mbps","0,5 Mbps","0,512 Mbps","0,625 Mbps","0,75 Mbps",1 Mbps,"1,25 Mbps","1,5 Mbps",2 Mbps,"2,2 Mbps","2,5 Mbps",3 Mbps,"3,3 Mbps","3,5 Mbps",4 Mbps,"4,5 Mbps",5 Mbps,6 Mbps,"6,4 Mbps",7 Mbps,"7,5 Mbps",8 Mbps,9 Mbps,10 Mbps,"10,2 Mbps",11 Mbps,12 Mbps,"12,3 Mbps",13 Mbps,14 Mbps,15 Mbps,16 Mbps,17 Mbps,18 Mbps,20 Mbps,"20,5 Mbps",21 Mbps,22 Mbps,23 Mbps,24 Mbps,25 Mbps,"25,1 Mbps","25,5 Mbps",26 Mbps,27 Mbps,30 Mbps,31 Mbps,32 Mbps,34 Mbps,35 Mbps,36 Mbps,38 Mbps,39 Mbps,40 Mbps,41 Mbps,45 Mbps,46 Mbps,48 Mbps,49 Mbps,50 Mbps,"50,1 Mbps","50,25 Mbps",51 Mbps,55 Mbps,58 Mbps,59 Mbps,60 Mbps,61 Mbps,62 Mbps,64 Mbps,65 Mbps,66 Mbps,70 Mbps,75 Mbps,78 Mbps,80 Mbps,83 Mbps
FORMOSA,Patiño,Bartolomé de las Casas,34035010,,,,1,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORMOSA,Patiño,Comandante Fontana,34035030,,,,,,,,,,,3,,,142,,,375,,,144,,,,44,,39,,,1,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORMOSA,Patiño,Estanislao del Campo,34035050,0,,,,,,,1,,,,,,73,,,47,,,14,,,,,,51,,,,,,,7,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORMOSA,Patiño,Fortín Cabo 1º Lugones,34035060,,,,,,,,,,,,,,107,,,11,,,5,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORMOSA,Patiño,Fortín Sargento 1º Leyes,34035070,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORMOSA,Patiño,Ibarreta,34035080,,,,3,,,,1,,,102,,,234,,,119,,,70,,,,,,197,,,,,,,31,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORMOSA,Patiño,Juan G. Bazán,34035090,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORMOSA,Patiño,Las Lomitas,34035100,45,,,4,,,,1,,,,,,804,,,52,,581,122,,,,49,,475,,,,,,,69,,,,16,,,,,,,,,,,,,,,2,,,,,,,,,,6,,,,,,,,,,,,,,,,,
FORMOSA,Patiño,Posta Cambio Zalazar,34035110,,,,,,,,,,,,,,28,,,5,,,2,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORMOSA,Patiño,Pozo del Tigre,34035120,1,,,,,,,,,,,,,119,,,38,,,27,,,,,,39,,,,,,,1,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
