Provincia,Año,Trimestre,ADSL,Cablemodem,Fibra optica,Wireless,Total Tecnologia,Mbps (Media de bajada),Tasa de crecimiento Velocidad,Accesos por cada 100 hogares,Tasa de Crecimiento Penetracion,Ingresos (miles de pesos),Ingresos (miles USD),Tasa de Crecimiento Ingresos
La Rioja,2015,4,99.89351632749644,0.0,0.09465215333648841,0.011831519167061051,16904,4.52,1.06,17.32,1.8224573780129205,5376899.21,586.08,20.127900303353297
Mendoza,2015,4,90.74189175590323,7.713117034563998,1.5224970846430241,0.022494124889749192,168933,3.5,1.0,32.49,-0.4595588235294046,5376899.21,586.08,20.127900303353297
Misiones,2015,4,64.90014864602857,35.04276266184105,0.05170296645770051,0.005385725672677137,92838,5.9,1.05,28.69,18.75,5376899.21,586.08,20.127900303353297
Neuquén,2015,4,49.42427604146742,37.204009027963735,1.0022569909337822,12.369457939635057,104564,4.36,1.03,58.29,10.922930542340637,5376899.21,586.08,20.127900303353297
Río Negro,2015,4,67.94215094416326,27.665304795007827,0.9299347521190316,3.462609508709881,98394,3.77,1.01,46.44,2.110817941952514,5376899.21,586.08,20.127900303353297
Salta,2015,4,77.68285223842314,22.143519523311564,0.046366631809482466,0.12726160645581358,101366,4.67,1.06,31.59,6.975956654249904,5376899.21,586.08,20.127900303353297
San Juan,2015,4,95.20549285029635,0.8822206138377574,1.5062303163083663,2.40605621955752,51121,3.48,1.0,27.66,-1.3552068473609125,5376899.21,586.08,20.127900303353297
San Luis,2015,4,89.02733431975702,7.982244373491161,2.7567946421618252,0.23362666458998518,12841,3.5,1.0,9.71,-0.8171603677221473,5376899.21,586.08,20.127900303353297
Santa Cruz,2015,4,65.0746019838293,11.348670500958573,1.6504126031507877,21.926314912061347,23994,3.48,1.0,27.74,-0.21582733812950394,5376899.21,586.08,20.127900303353297
Santa Fe,2015,4,60.6607941310343,38.003873374566034,0.5149624711058752,0.8203700232937964,560235,4.81,1.05,52.61,5.220000000000002,5376899.21,586.08,20.127900303353297
Santiago Del Estero,2015,4,85.8764863828155,11.162255466052933,0.048587137194732136,2.9126710139368366,39105,4.09,1.05,17.0,-1.5634047481181246,5376899.21,586.08,20.127900303353297
Tierra Del Fuego,2015,4,82.0055791037206,15.58163967684672,2.4091584248088975,0.0036227946237727786,27603,3.47,1.0,66.46,0.4838221953431976,5376899.21,586.08,20.127900303353297
Tucumán,2015,4,98.7284741004485,1.1318429251258173,0.07942757369303982,0.06025540073265089,146045,4.88,1.07,37.06,4.926387315968306,5376899.21,586.08,20.127900303353297
Buenos Aires,2015,3,54.615906632586274,40.78258593012601,3.912929650630051,0.6885777866576643,2902940,4.7,1.05,57.69,1.6563876651982445,5153738.88,561.76,30.760457158818454
